company_id,nse_symbol,fiscal_year,quarter,period_end,filing_date,source_url,match_confidence,attachment_format,extraction_status,extracted_char_count,xbrl_available,notes
RELIANCE,RELIANCE,FY2022,Q1,2021-06-30,23-Jul-2021 19:37:56,https://nsearchives.nseindia.com/corporate/UFS_23072021193756.pdf,text_confirmed,pdf,extracted,56417,True,
RELIANCE,RELIANCE,FY2022,Q2,2021-09-30,22-Oct-2021 20:17:39,https://nsearchives.nseindia.com/corporate/UFR22102021_22102021201739.pdf,text_confirmed,pdf,extracted,81872,True,
RELIANCE,RELIANCE,FY2022,Q3,2021-12-31,21-Jan-2022 19:48:07,https://nsearchives.nseindia.com/corporate/UFS21012022_21012022194807.pdf,text_confirmed,pdf,extracted,68453,True,
RELIANCE,RELIANCE,FY2022,Q4,2022-03-31,06-May-2022 19:39:15,https://nsearchives.nseindia.com/corporate/RELIANCE_06052022193915_RILAuditedResults06052022.pdf,date_window_only,pdf,extracted,102423,True,
RELIANCE,RELIANCE,FY2023,Q1,2022-06-30,22-Jul-2022 19:35:39,https://nsearchives.nseindia.com/corporate/RELIANCE_22072022193537_Financials730.pdf,text_confirmed,pdf,extracted,61352,True,
RELIANCE,RELIANCE,FY2023,Q2,2022-09-30,21-Oct-2022 19:38:09,https://nsearchives.nseindia.com/corporate/RELIANCE_21102022193809_UFR727.pdf,text_confirmed,pdf,extracted,79298,True,
RELIANCE,RELIANCE,FY2023,Q3,2022-12-31,20-Jan-2023 19:07:53,https://nsearchives.nseindia.com/corporate/UFR31122022_20012023190753.pdf,text_confirmed,pdf,extracted,68811,True,
RELIANCE,RELIANCE,FY2023,Q4,2023-03-31,21-Apr-2023 19:24:25,https://nsearchives.nseindia.com/corporate/AR31032023_21042023192425.pdf,text_confirmed,pdf,extracted,93638,True,
RELIANCE,RELIANCE,FY2024,Q1,2023-06-30,21-Jul-2023 19:39:21,https://nsearchives.nseindia.com/corporate/725UFR30062023_21072023193921.pdf,text_confirmed,pdf,extracted,65694,True,
RELIANCE,RELIANCE,FY2024,Q2,2023-09-30,27-Oct-2023 19:25:53,https://nsearchives.nseindia.com/corporate/Financialresults_27102023192553.pdf,text_confirmed,pdf,extracted,78556,True,
